0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0|
0.0628;0.0;0.0;0.1571;0.0;0.0;0.0;0.0;0.0;0.1571|0.1013,0.0928;0.2679,0.2779;1.8195,0.3697;1.6683,0.1452;1.6794,0.4307;1.7389,0.3095;1.8418,0.1284;4.8294,0.0544;4.6268,0.3818;4.9453,0.1097;4.7706,0.4432;4.5915,0.2067
0.0;0.0;0.0;0.0;0.0942;0.0;0.0;0.0;0.0;0.0|2.1203,0.2173;2.4073,0.3242;2.2482,0.4325
0.0628;0.0;0.1257;0.0;0.1885;0.0314;0.0;0.0;0.0;0.0|0.3527,0.2875;0.0655,0.3226;1.4462,0.4232;1.4037,0.0839;1.1148,0.3406;1.073,0.1751;2.2488,0.3931;2.3103,0.2732;2.1101,0.2792;2.3768,0.1195;2.435,0.387;2.0719,0.176;2.8438,0.1787
0.0;0.0;0.0;0.0;0.0;0.0;0.0942;0.0;0.0;0.2199|3.3033,0.3925;3.1437,0.0674;3.337,0.1699;4.6121,0.4492;4.6843,0.2307;4.7422,0.4234;4.897,0.1503;4.9378,0.295;4.7669,0.0677;4.7332,0.3227
0.0;0.0;0.0;0.0;0.0;0.1257;0.0;0.0;0.0;0.0|2.721,0.4436;2.7133,0.3336;2.8155,0.2876;2.9137,0.3729
0.0;0.0;0.0;0.0;0.1571;0.1885;0.0;0.0;0.0;0.0|2.1823,0.2746;2.4028,0.3032;2.0796,0.0674;2.3707,0.052;2.2994,0.3783;2.7392,0.4376;2.8311,0.3363;2.7654,0.1549;2.9223,0.2039;2.6159,0.2872;2.9457,0.3759
0.0;0.0;0.0628;0.1571;0.1257;0.0;0.0;0.0;0.1571;0.0|1.161,0.2301;1.3219,0.103;1.7225,0.3404;1.8217,0.4383;1.8736,0.3258;1.5915,0.1467;1.7841,0.2511;2.0511,0.0544;2.181,0.3152;2.3482,0.363;2.2748,0.2543;4.4335,0.0849;4.113,0.0895;4.4203,0.2178;4.2314,0.2126;4.2151,0.342
0.0;0.2199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1257|0.6141,0.2403;0.9224,0.1516;0.8796,0.2789;0.9491,0.3782;0.7696,0.1457;0.6303,0.126;0.5963,0.3729;4.8323,0.0921;4.936,0.3791;4.7283,0.3442;4.6628,0.1167
0.0;0.0;0.0;0.0;0.1571;0.0;0.0628;0.2199;0.0;0.0|2.233,0.0582;2.1773,0.3129;2.0613,0.1755;2.3039,0.3666;2.3247,0.1592;3.3358,0.0686;3.1094,0.2786;3.835,0.1652;3.8617,0.2891;3.5955,0.4409;3.5933,0.256;3.9184,0.423;3.6678,0.0797;3.7084,0.3998
0.0;0.0;0.1257;0.0628;0.0;0.0;0.0;0.0;0.1885;0.0|1.1515,0.4029;1.2112,0.1082;1.3205,0.2436;1.0571,0.33;1.8556,0.1028;1.7721,0.2254;4.2793,0.26;4.0891,0.1703;4.4038,0.3992;4.304,0.4211;4.4332,0.2978;4.1646,0.3419
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1571|4.7128,0.4161;4.6413,0.2784;4.6027,0.3911;4.5834,0.0742;4.9487,0.0772
0.0;0.0;0.1571;0.0628;0.1257;0.0942;0.0;0.2199;0.2827;0.1257|1.3254,0.309;1.3409,0.2003;1.1603,0.2697;1.3081,0.0885;1.2493,0.3909;1.6871,0.1466;1.5967,0.1012;2.4143,0.3476;2.162,0.0631;2.0578,0.1923;2.2135,0.3622;2.5765,0.4488;2.5829,0.2213;2.772,0.4416;3.6946,0.0522;3.84,0.0634;3.795,0.3966;3.7702,0.2369;3.6223,0.2695;3.9267,0.3351;3.5939,0.1043;4.3834,0.2721;4.067,0.1203;4.2546,0.2438;4.4474,0.3493;4.2984,0.1441;4.1679,0.0981;4.0644,0.3824;4.1644,0.3655;4.2819,0.3646;4.6333,0.254;4.8107,0.0769;4.6635,0.4336;4.8128,0.3659
